iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,NA,0
ABW,2005,NaN,NA,0
ABW,2006,NaN,NA,0
ABW,2007,NaN,NA,0
ABW,2008,NaN,NA,0
ABW,2009,NaN,NA,0
ABW,2010,NaN,NA,0
ABW,2011,NaN,NA,0
ABW,2012,NaN,NA,0
ABW,2013,NaN,NA,0
ABW,2014,NaN,NA,0
ABW,2015,NaN,"NA",NaN
ABW,2016,NaN,"NA",NaN
ABW,2017,NaN,"NA",NaN
ABW,2018,NaN,"NA",NaN
ABW,2019,NaN,NA,0
AFG,2004,NaN,NA,0
AFG,2005,NaN,NA,0
AFG,2006,NaN,NA,0
AFG,2007,NaN,NA,0
AFG,2008,NaN,NA,0
AFG,2009,NaN,NA,0
AFG,2010,NaN,NA,0
AFG,2011,NaN,NA,0
AFG,2012,NaN,NA,0
AFG,2013,NaN,NA,0
AFG,2014,NaN,NA,0
AFG,2015,45.21107666666667,G,0.5
AFG,2016,49.722183333333334,G,0.5
AFG,2017,54.31936666666667,G,0.5
AFG,2018,60.883923333333335,G,0.5
AFG,2019,NaN,NA,0
AGO,2004,NaN,NA,0
AGO,2005,NaN,NA,0
AGO,2006,NaN,NA,0
AGO,2007,NaN,NA,0
AGO,2008,NaN,NA,0
AGO,2009,NaN,NA,0
AGO,2010,NaN,NA,0
AGO,2011,NaN,NA,0
AGO,2012,NaN,NA,0
AGO,2013,NaN,NA,0
AGO,2014,NaN,NA,0
AGO,2015,64.91243333333333,G,0.5
AGO,2016,64.13079,"NA",NaN
AGO,2017,64.13079,"NA",NaN
AGO,2018,64.13079,"NA",NaN
AGO,2019,NaN,NA,0
AIA,2004,NaN,NA,0
AIA,2005,NaN,NA,0
AIA,2006,NaN,NA,0
AIA,2007,NaN,NA,0
AIA,2008,NaN,NA,0
AIA,2009,NaN,NA,0
AIA,2010,NaN,NA,0
AIA,2011,NaN,NA,0
AIA,2012,NaN,NA,0
AIA,2013,NaN,NA,0
AIA,2014,NaN,NA,0
AIA,2015,NaN,"NA",NaN
AIA,2016,NaN,"NA",NaN
AIA,2017,NaN,"NA",NaN
AIA,2018,NaN,"NA",NaN
AIA,2019,NaN,NA,0
ALA,2004,NaN,NA,0
ALA,2005,NaN,NA,0
ALA,2006,NaN,NA,0
ALA,2007,NaN,NA,0
ALA,2008,NaN,NA,0
ALA,2009,NaN,NA,0
ALA,2010,NaN,NA,0
ALA,2011,NaN,NA,0
ALA,2012,NaN,NA,0
ALA,2013,NaN,NA,0
ALA,2014,NaN,NA,0
ALA,2015,NaN,"NA",NaN
ALA,2016,NaN,"NA",NaN
ALA,2017,NaN,"NA",NaN
ALA,2018,NaN,"NA",NaN
ALA,2019,NaN,NA,0
ALB,2004,NaN,NA,0
ALB,2005,NaN,NA,0
ALB,2006,NaN,NA,0
ALB,2007,NaN,NA,0
ALB,2008,NaN,NA,0
ALB,2009,NaN,NA,0
ALB,2010,NaN,NA,0
ALB,2011,NaN,NA,0
ALB,2012,NaN,NA,0
ALB,2013,NaN,NA,0
ALB,2014,NaN,NA,0
ALB,2015,37.79316333333333,G,0.5
ALB,2016,38.00417,G,0.5
ALB,2017,37.6834,G,0.5
ALB,2018,36.07748,G,0.5
ALB,2019,NaN,NA,0
AND,2004,NaN,NA,0
AND,2005,NaN,NA,0
AND,2006,NaN,NA,0
AND,2007,NaN,NA,0
AND,2008,NaN,NA,0
AND,2009,NaN,NA,0
AND,2010,NaN,NA,0
AND,2011,NaN,NA,0
AND,2012,NaN,NA,0
AND,2013,NaN,NA,0
AND,2014,NaN,NA,0
AND,2015,NaN,"NA",NaN
AND,2016,NaN,"NA",NaN
AND,2017,NaN,"NA",NaN
AND,2018,NaN,"NA",NaN
AND,2019,NaN,NA,0
ARE,2004,NaN,NA,0
ARE,2005,NaN,NA,0
ARE,2006,NaN,NA,0
ARE,2007,NaN,NA,0
ARE,2008,NaN,NA,0
ARE,2009,NaN,NA,0
ARE,2010,NaN,NA,0
ARE,2011,NaN,NA,0
ARE,2012,NaN,NA,0
ARE,2013,NaN,NA,0
ARE,2014,NaN,NA,0
ARE,2015,NaN,E,0.5
ARE,2016,NaN,E,0.5
ARE,2017,NaN,E,0.5
ARE,2018,NaN,E,0.5
ARE,2019,NaN,NA,0
ARG,2004,NaN,NA,0
ARG,2005,NaN,NA,0
ARG,2006,NaN,NA,0
ARG,2007,NaN,NA,0
ARG,2008,NaN,NA,0
ARG,2009,NaN,NA,0
ARG,2010,NaN,NA,0
ARG,2011,NaN,NA,0
ARG,2012,NaN,NA,0
ARG,2013,NaN,NA,0
ARG,2014,NaN,NA,0
ARG,2015,17.60774333333333,G,0.5
ARG,2016,24.119096666666668,G,0.5
ARG,2017,30.153126666666665,G,0.5
ARG,2018,33.485263333333336,G,0.5
ARG,2019,NaN,NA,0
ARM,2004,NaN,NA,0
ARM,2005,NaN,NA,0
ARM,2006,NaN,NA,0
ARM,2007,NaN,NA,0
ARM,2008,NaN,NA,0
ARM,2009,NaN,NA,0
ARM,2010,NaN,NA,0
ARM,2011,NaN,NA,0
ARM,2012,NaN,NA,0
ARM,2013,NaN,NA,0
ARM,2014,NaN,NA,0
ARM,2015,28.133,G,0.5
ARM,2016,32.931403333333336,G,0.5
ARM,2017,35.16475,G,0.5
ARM,2018,34.25081333333333,G,0.5
ARM,2019,NaN,NA,0
ASM,2004,NaN,NA,0
ASM,2005,NaN,NA,0
ASM,2006,NaN,NA,0
ASM,2007,NaN,NA,0
ASM,2008,NaN,NA,0
ASM,2009,NaN,NA,0
ASM,2010,NaN,NA,0
ASM,2011,NaN,NA,0
ASM,2012,NaN,NA,0
ASM,2013,NaN,NA,0
ASM,2014,NaN,NA,0
ASM,2015,NaN,"NA",NaN
ASM,2016,NaN,"NA",NaN
ASM,2017,NaN,"NA",NaN
ASM,2018,NaN,"NA",NaN
ASM,2019,NaN,NA,0
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,NA,0
ATF,2005,NaN,NA,0
ATF,2006,NaN,NA,0
ATF,2007,NaN,NA,0
ATF,2008,NaN,NA,0
ATF,2009,NaN,NA,0
ATF,2010,NaN,NA,0
ATF,2011,NaN,NA,0
ATF,2012,NaN,NA,0
ATF,2013,NaN,NA,0
ATF,2014,NaN,NA,0
ATF,2015,NaN,"NA",NaN
ATF,2016,NaN,"NA",NaN
ATF,2017,NaN,"NA",NaN
ATF,2018,NaN,"NA",NaN
ATF,2019,NaN,NA,0
ATG,2004,NaN,NA,0
ATG,2005,NaN,NA,0
ATG,2006,NaN,NA,0
ATG,2007,NaN,NA,0
ATG,2008,NaN,NA,0
ATG,2009,NaN,NA,0
ATG,2010,NaN,NA,0
ATG,2011,NaN,NA,0
ATG,2012,NaN,NA,0
ATG,2013,NaN,NA,0
ATG,2014,NaN,NA,0
ATG,2015,NaN,"NA",NaN
ATG,2016,NaN,"NA",NaN
ATG,2017,NaN,"NA",NaN
ATG,2018,NaN,"NA",NaN
ATG,2019,NaN,NA,0
AUS,2004,NaN,NA,0
AUS,2005,NaN,NA,0
AUS,2006,NaN,NA,0
AUS,2007,NaN,NA,0
AUS,2008,NaN,NA,0
AUS,2009,NaN,NA,0
AUS,2010,NaN,NA,0
AUS,2011,NaN,NA,0
AUS,2012,NaN,NA,0
AUS,2013,NaN,NA,0
AUS,2014,NaN,NA,0
AUS,2015,9.81969,G,0.5
AUS,2016,10.68795,G,0.5
AUS,2017,11.455663333333334,G,0.5
AUS,2018,12.234183333333334,G,0.5
AUS,2019,NaN,NA,0
AUT,2004,NaN,NA,0
AUT,2005,NaN,NA,0
AUT,2006,NaN,NA,0
AUT,2007,NaN,NA,0
AUT,2008,NaN,NA,0
AUT,2009,NaN,NA,0
AUT,2010,NaN,NA,0
AUT,2011,NaN,NA,0
AUT,2012,NaN,NA,0
AUT,2013,NaN,NA,0
AUT,2014,NaN,NA,0
AUT,2015,4.9674233333333335,G,0.5
AUT,2016,4.673993333333334,G,0.5
AUT,2017,4.16324,G,0.5
AUT,2018,3.5277766666666666,G,0.5
AUT,2019,NaN,NA,0
AZE,2004,NaN,NA,0
AZE,2005,NaN,NA,0
AZE,2006,NaN,NA,0
AZE,2007,NaN,NA,0
AZE,2008,NaN,NA,0
AZE,2009,NaN,NA,0
AZE,2010,NaN,NA,0
AZE,2011,NaN,NA,0
AZE,2012,NaN,NA,0
AZE,2013,NaN,NA,0
AZE,2014,NaN,NA,0
AZE,2015,5.799633333333333,G,0.5
AZE,2016,7.597356666666666,G,0.5
AZE,2017,8.475746666666668,G,0.5
AZE,2018,9.538673333333334,G,0.5
