iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,NA,0
ABW,2005,NaN,NA,0
ABW,2006,NaN,NA,0
ABW,2007,NaN,NA,0
ABW,2008,NaN,NA,0
ABW,2009,NaN,NA,0
ABW,2010,NaN,NA,0
ABW,2011,NaN,NA,0
ABW,2012,NaN,NA,0
ABW,2013,NaN,NA,0
ABW,2014,NaN,NA,0
ABW,2015,NaN,NA,0
ABW,2016,NaN,NA,0
ABW,2017,NaN,NA,0
ABW,2018,NaN,NA,0
ABW,2019,NaN,NA,0
AFG,2004,0.436,C,1
AFG,2005,0.13684,C,1
AFG,2006,0.08049,C,1
AFG,2007,0.09808,C,1
AFG,2008,0.14462,C,1
AFG,2009,0.17394,C,1
AFG,2010,0.13237,C,1
AFG,2011,0.15777,C,1
AFG,2012,0.16942,C,1
AFG,2013,0.19715,C,1
AFG,2014,0.16643,C,1
AFG,2015,0.18899,C,1
AFG,2016,0.15553,C,1
AFG,2017,0.1452,C,1
AFG,2018,0.16795,C,1
AFG,2019,NaN,NA,0
AGO,2004,0.21161,C,1
AGO,2005,0.34252,C,1
AGO,2006,0.32481,C,1
AGO,2007,0.54255,C,1
AGO,2008,0.44016,C,1
AGO,2009,0.13405,C,1
AGO,2010,0.17532,C,1
AGO,2011,0.20906,C,1
AGO,2012,0.16415,C,1
AGO,2013,0.19365,C,1
AGO,2014,0.10603,C,1
AGO,2015,0.08507,C,1
AGO,2016,0.07278,C,1
AGO,2017,0.05379,C,1
AGO,2018,0.04463,C,1
AGO,2019,NaN,NA,0
AIA,2004,NaN,NA,0
AIA,2005,NaN,NA,0
AIA,2006,NaN,NA,0
AIA,2007,NaN,NA,0
AIA,2008,NaN,NA,0
AIA,2009,NaN,NA,0
AIA,2010,NaN,NA,0
AIA,2011,NaN,NA,0
AIA,2012,NaN,NA,0
AIA,2013,NaN,NA,0
AIA,2014,NaN,NA,0
AIA,2015,NaN,NA,0
AIA,2016,NaN,NA,0
AIA,2017,NaN,NA,0
AIA,2018,NaN,NA,0
AIA,2019,NaN,NA,0
ALA,2004,NaN,NA,0
ALA,2005,NaN,NA,0
ALA,2006,NaN,NA,0
ALA,2007,NaN,NA,0
ALA,2008,NaN,NA,0
ALA,2009,NaN,NA,0
ALA,2010,NaN,NA,0
ALA,2011,NaN,NA,0
ALA,2012,NaN,NA,0
ALA,2013,NaN,NA,0
ALA,2014,NaN,NA,0
ALA,2015,NaN,NA,0
ALA,2016,NaN,NA,0
ALA,2017,NaN,NA,0
ALA,2018,NaN,NA,0
ALA,2019,NaN,NA,0
ALB,2004,0.13286,C,1
ALB,2005,NaN,NA,0
ALB,2006,NaN,NA,0
ALB,2007,NaN,NA,0
ALB,2008,NaN,NA,0
ALB,2009,NaN,NA,0
ALB,2010,0.11511,C,1
ALB,2011,0.11093,C,1
ALB,2012,0.10195,C,1
ALB,2013,0.10872,C,1
ALB,2014,0.10615,C,1
ALB,2015,0.12414,C,1
ALB,2016,0.16711,C,1
ALB,2017,0.12272,C,1
ALB,2018,0.14154,C,1
ALB,2019,NaN,NA,0
AND,2004,NaN,NA,0
AND,2005,NaN,NA,0
AND,2006,NaN,NA,0
AND,2007,NaN,NA,0
AND,2008,NaN,NA,0
AND,2009,NaN,NA,0
AND,2010,NaN,NA,0
AND,2011,NaN,NA,0
AND,2012,NaN,NA,0
AND,2013,NaN,NA,0
AND,2014,NaN,NA,0
AND,2015,NaN,NA,0
AND,2016,NaN,NA,0
AND,2017,NaN,NA,0
AND,2018,NaN,NA,0
AND,2019,NaN,NA,0
ARE,2004,NaN,NA,0
ARE,2005,NaN,NA,0
ARE,2006,NaN,NA,0
ARE,2007,NaN,NA,0
ARE,2008,NaN,NA,0
ARE,2009,NaN,NA,0
ARE,2010,NaN,NA,0
ARE,2011,NaN,NA,0
ARE,2012,0.04168,C,1
ARE,2013,0.07057,C,1
ARE,2014,0.04533,C,1
ARE,2015,0.05485,C,1
ARE,2016,NaN,NA,0
ARE,2017,NaN,NA,0
ARE,2018,0.02831,C,1
ARE,2019,NaN,NA,0
ARG,2004,0.08248,C,1
ARG,2005,0.07108,C,1
ARG,2006,0.09389,C,1
ARG,2007,0.26753,C,1
ARG,2008,0.49989,C,1
ARG,2009,0.44152,C,1
ARG,2010,0.34946,C,1
ARG,2011,0.16545,C,1
ARG,2012,0.16961,C,1
ARG,2013,0.16319,C,1
ARG,2014,0.10083,C,1
ARG,2015,0.1451,C,1
ARG,2016,0.10296,C,1
ARG,2017,0.10648,C,1
ARG,2018,0.06609,C,1
ARG,2019,NaN,NA,0
ARM,2004,NaN,NA,0
ARM,2005,NaN,NA,0
ARM,2006,NaN,NA,0
ARM,2007,NaN,NA,0
ARM,2008,NaN,NA,0
ARM,2009,0.24536,C,1
ARM,2010,0.26309,C,1
ARM,2011,0.22532,C,1
ARM,2012,0.1215,C,1
ARM,2013,0.08627,C,1
ARM,2014,0.09168,C,1
ARM,2015,0.14137,C,1
ARM,2016,0.20429,C,1
ARM,2017,0.16811,C,1
ARM,2018,0.13363,C,1
ARM,2019,NaN,NA,0
ASM,2004,NaN,NA,0
ASM,2005,NaN,NA,0
ASM,2006,NaN,NA,0
ASM,2007,NaN,NA,0
ASM,2008,NaN,NA,0
ASM,2009,NaN,NA,0
ASM,2010,NaN,NA,0
ASM,2011,NaN,NA,0
ASM,2012,NaN,NA,0
ASM,2013,NaN,NA,0
ASM,2014,NaN,NA,0
ASM,2015,NaN,NA,0
ASM,2016,NaN,NA,0
ASM,2017,NaN,NA,0
ASM,2018,NaN,NA,0
ASM,2019,NaN,NA,0
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,NA,0
ATF,2005,NaN,NA,0
ATF,2006,NaN,NA,0
ATF,2007,NaN,NA,0
ATF,2008,NaN,NA,0
ATF,2009,NaN,NA,0
ATF,2010,NaN,NA,0
ATF,2011,NaN,NA,0
ATF,2012,NaN,NA,0
ATF,2013,NaN,NA,0
ATF,2014,NaN,NA,0
ATF,2015,NaN,NA,0
ATF,2016,NaN,NA,0
ATF,2017,NaN,NA,0
ATF,2018,NaN,NA,0
ATF,2019,NaN,NA,0
ATG,2004,NaN,NA,0
ATG,2005,NaN,NA,0
ATG,2006,NaN,NA,0
ATG,2007,NaN,NA,0
ATG,2008,NaN,NA,0
ATG,2009,NaN,NA,0
ATG,2010,NaN,NA,0
ATG,2011,NaN,NA,0
ATG,2012,NaN,NA,0
ATG,2013,NaN,NA,0
ATG,2014,0.58664,C,1
ATG,2015,0.44256,C,1
ATG,2016,0.81521,C,1
ATG,2017,0.5221,C,1
ATG,2018,0.45906,C,1
ATG,2019,NaN,NA,0
AUS,2004,0.31678,C,1
AUS,2005,0.27852,C,1
AUS,2006,0.50407,C,1
AUS,2007,0.45185,C,1
AUS,2008,0.58064,C,1
AUS,2009,0.36982,C,1
AUS,2010,0.36644,C,1
AUS,2011,0.30616,C,1
AUS,2012,0.33042,C,1
AUS,2013,0.25956,C,1
AUS,2014,0.25022,C,1
AUS,2015,0.2369,C,1
AUS,2016,0.20335,C,1
AUS,2017,0.22077,C,1
AUS,2018,0.21782,C,1
AUS,2019,NaN,NA,0
AUT,2004,NaN,NA,0
AUT,2005,NaN,NA,0
AUT,2006,NaN,NA,0
AUT,2007,NaN,NA,0
AUT,2008,NaN,NA,0
AUT,2009,NaN,NA,0
AUT,2010,NaN,NA,0
AUT,2011,NaN,NA,0
AUT,2012,NaN,NA,0
AUT,2013,NaN,NA,0
AUT,2014,NaN,NA,0
AUT,2015,NaN,NA,0
AUT,2016,NaN,NA,0
AUT,2017,NaN,NA,0
AUT,2018,NaN,NA,0
AUT,2019,NaN,NA,0
AZE,2004,NaN,NA,0
AZE,2005,NaN,NA,0
AZE,2006,NaN,NA,0
AZE,2007,NaN,NA,0
AZE,2008,0.44531,C,1
AZE,2009,0.57845,C,1
AZE,2010,0.54039,C,1
AZE,2011,0.54233,C,1
AZE,2012,0.45901,C,1
AZE,2013,0.46202,C,1
AZE,2014,0.48374,C,1
AZE,2015,0.4765,C,1
AZE,2016,0.57975,C,1
AZE,2017,0.46677,C,1
AZE,2018,0.49845,C,1
AZE,2019,NaN,NA,0
BDI,2004,NaN,NA,0
BDI,2005,NaN,NA,0
BDI,2006,NaN,NA,0
BDI,2007,NaN,NA,0
BDI,2008,NaN,NA,0
BDI,2009,NaN,NA,0
BDI,2010,0.0298,C,1
BDI,2011,0.07846,C,1
BDI,2012,0.08491,C,1
BDI,2013,0.07271,C,1
BDI,2014,NaN,NA,0
BDI,2015,NaN,NA,0
BDI,2016,NaN,NA,0
