iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,"NA",NaN
ABW,2005,NaN,"NA",NaN
ABW,2006,NaN,"NA",NaN
ABW,2007,NaN,"NA",NaN
ABW,2008,NaN,"NA",NaN
ABW,2009,NaN,"NA",NaN
ABW,2010,NaN,"NA",NaN
ABW,2011,NaN,"NA",NaN
ABW,2012,NaN,"NA",NaN
ABW,2013,NaN,"NA",NaN
ABW,2014,NaN,"NA",NaN
ABW,2015,NaN,"NA",NaN
ABW,2016,NaN,"NA",NaN
ABW,2017,NaN,"NA",NaN
ABW,2018,NaN,"NA",NaN
ABW,2019,NaN,"NA",NaN
AFG,2004,NaN,"NA",NaN
AFG,2005,NaN,"NA",NaN
AFG,2006,NaN,"NA",NaN
AFG,2007,NaN,"NA",NaN
AFG,2008,NaN,"NA",NaN
AFG,2009,NaN,"NA",NaN
AFG,2010,NaN,"NA",NaN
AFG,2011,NaN,"NA",NaN
AFG,2012,NaN,"NA",NaN
AFG,2013,NaN,"NA",NaN
AFG,2014,NaN,"NA",NaN
AFG,2015,NaN,"NA",NaN
AFG,2016,NaN,"NA",NaN
AFG,2017,NaN,"NA",NaN
AFG,2018,NaN,"NA",NaN
AFG,2019,NaN,"NA",NaN
AGO,2004,NaN,"NA",NaN
AGO,2005,NaN,"NA",NaN
AGO,2006,NaN,"NA",NaN
AGO,2007,NaN,"NA",NaN
AGO,2008,NaN,"NA",NaN
AGO,2009,NaN,"NA",NaN
AGO,2010,NaN,"NA",NaN
AGO,2011,NaN,"NA",NaN
AGO,2012,NaN,"NA",NaN
AGO,2013,NaN,"NA",NaN
AGO,2014,NaN,"NA",NaN
AGO,2015,NaN,"NA",NaN
AGO,2016,NaN,"NA",NaN
AGO,2017,NaN,"NA",NaN
AGO,2018,NaN,"NA",NaN
AGO,2019,NaN,"NA",NaN
AIA,2004,NaN,"NA",NaN
AIA,2005,NaN,"NA",NaN
AIA,2006,NaN,"NA",NaN
AIA,2007,NaN,"NA",NaN
AIA,2008,NaN,"NA",NaN
AIA,2009,NaN,"NA",NaN
AIA,2010,NaN,"NA",NaN
AIA,2011,NaN,"NA",NaN
AIA,2012,NaN,"NA",NaN
AIA,2013,NaN,"NA",NaN
AIA,2014,NaN,"NA",NaN
AIA,2015,NaN,"NA",NaN
AIA,2016,NaN,"NA",NaN
AIA,2017,NaN,"NA",NaN
AIA,2018,NaN,"NA",NaN
AIA,2019,NaN,"NA",NaN
ALA,2004,NaN,"NA",NaN
ALA,2005,NaN,"NA",NaN
ALA,2006,NaN,"NA",NaN
ALA,2007,NaN,"NA",NaN
ALA,2008,NaN,"NA",NaN
ALA,2009,NaN,"NA",NaN
ALA,2010,NaN,"NA",NaN
ALA,2011,NaN,"NA",NaN
ALA,2012,NaN,"NA",NaN
ALA,2013,NaN,"NA",NaN
ALA,2014,NaN,"NA",NaN
ALA,2015,NaN,"NA",NaN
ALA,2016,NaN,"NA",NaN
ALA,2017,NaN,"NA",NaN
ALA,2018,NaN,"NA",NaN
ALA,2019,NaN,"NA",NaN
ALB,2004,29,E,0.5
ALB,2005,50,E,0.5
ALB,2006,50,E,0.5
ALB,2007,50,E,0.5
ALB,2008,50,E,0.5
ALB,2009,50,E,0.5
ALB,2010,50,E,0.5
ALB,2011,33,E,0.5
ALB,2012,80,C,1
ALB,2013,56,C,1
ALB,2014,56,E,0.5
ALB,2015,56,E,0.5
ALB,2016,56,E,0.5
ALB,2017,56,E,0.5
ALB,2018,56,E,0.5
ALB,2019,56,E,0.5
AND,2004,NaN,"NA",NaN
AND,2005,NaN,"NA",NaN
AND,2006,NaN,"NA",NaN
AND,2007,NaN,"NA",NaN
AND,2008,NaN,"NA",NaN
AND,2009,NaN,"NA",NaN
AND,2010,NaN,"NA",NaN
AND,2011,NaN,"NA",NaN
AND,2012,NaN,"NA",NaN
AND,2013,NaN,"NA",NaN
AND,2014,NaN,"NA",NaN
AND,2015,NaN,"NA",NaN
AND,2016,NaN,"NA",NaN
AND,2017,NaN,"NA",NaN
AND,2018,NaN,"NA",NaN
AND,2019,NaN,"NA",NaN
ARE,2004,NaN,"NA",NaN
ARE,2005,NaN,"NA",NaN
ARE,2006,NaN,"NA",NaN
ARE,2007,NaN,"NA",NaN
ARE,2008,NaN,"NA",NaN
ARE,2009,NaN,"NA",NaN
ARE,2010,NaN,"NA",NaN
ARE,2011,NaN,"NA",NaN
ARE,2012,NaN,"NA",NaN
ARE,2013,NaN,"NA",NaN
ARE,2014,NaN,"NA",NaN
ARE,2015,NaN,"NA",NaN
ARE,2016,NaN,"NA",NaN
ARE,2017,NaN,"NA",NaN
ARE,2018,NaN,"NA",NaN
ARE,2019,NaN,"NA",NaN
ARG,2004,NaN,"NA",NaN
ARG,2005,NaN,"NA",NaN
ARG,2006,NaN,"NA",NaN
ARG,2007,NaN,"NA",NaN
ARG,2008,NaN,"NA",NaN
ARG,2009,NaN,"NA",NaN
ARG,2010,0,C,1
ARG,2011,0,E,0.5
ARG,2012,0,E,0.5
ARG,2013,0,E,0.5
ARG,2014,0,E,0.5
ARG,2015,0,C,1
ARG,2016,0,E,0.5
ARG,2017,25,C,1
ARG,2018,20,C,1
ARG,2019,20,E,0.5
ARM,2004,NaN,"NA",NaN
ARM,2005,NaN,"NA",NaN
ARM,2006,NaN,"NA",NaN
ARM,2007,NaN,"NA",NaN
ARM,2008,NaN,"NA",NaN
ARM,2009,NaN,"NA",NaN
ARM,2010,NaN,"NA",NaN
ARM,2011,NaN,"NA",NaN
ARM,2012,NaN,"NA",NaN
ARM,2013,NaN,"NA",NaN
ARM,2014,NaN,"NA",NaN
ARM,2015,NaN,"NA",NaN
ARM,2016,NaN,"NA",NaN
ARM,2017,NaN,"NA",NaN
ARM,2018,NaN,"NA",NaN
ARM,2019,NaN,"NA",NaN
ASM,2004,NaN,"NA",NaN
ASM,2005,NaN,"NA",NaN
ASM,2006,NaN,"NA",NaN
ASM,2007,NaN,"NA",NaN
ASM,2008,NaN,"NA",NaN
ASM,2009,NaN,"NA",NaN
ASM,2010,NaN,"NA",NaN
ASM,2011,NaN,"NA",NaN
ASM,2012,NaN,"NA",NaN
ASM,2013,NaN,"NA",NaN
ASM,2014,NaN,"NA",NaN
ASM,2015,NaN,"NA",NaN
ASM,2016,NaN,"NA",NaN
ASM,2017,NaN,"NA",NaN
ASM,2018,NaN,"NA",NaN
ASM,2019,NaN,"NA",NaN
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,"NA",NaN
ATF,2005,NaN,"NA",NaN
ATF,2006,NaN,"NA",NaN
ATF,2007,NaN,"NA",NaN
ATF,2008,NaN,"NA",NaN
ATF,2009,NaN,"NA",NaN
ATF,2010,NaN,"NA",NaN
ATF,2011,NaN,"NA",NaN
ATF,2012,NaN,"NA",NaN
ATF,2013,NaN,"NA",NaN
ATF,2014,NaN,"NA",NaN
ATF,2015,NaN,"NA",NaN
ATF,2016,NaN,"NA",NaN
ATF,2017,NaN,"NA",NaN
