iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,"NA",NaN
ABW,2005,NaN,"NA",NaN
ABW,2006,NaN,"NA",NaN
ABW,2007,NaN,"NA",NaN
ABW,2008,NaN,"NA",NaN
ABW,2009,NaN,"NA",NaN
ABW,2010,NaN,"NA",NaN
ABW,2011,NaN,"NA",NaN
ABW,2012,NaN,"NA",NaN
ABW,2013,NaN,"NA",NaN
ABW,2014,NaN,"NA",NaN
ABW,2015,NaN,"NA",NaN
ABW,2016,NaN,"NA",NaN
ABW,2017,NaN,"NA",NaN
ABW,2018,NaN,"NA",NaN
ABW,2019,NaN,NA,0
AFG,2004,9.4,E,0.5
AFG,2005,9.3,E,0.5
AFG,2006,8.8,E,0.5
AFG,2007,8.1,E,0.5
AFG,2008,7.3,E,0.5
AFG,2009,7.1,E,0.5
AFG,2010,7,E,0.5
AFG,2011,7.5,E,0.5
AFG,2012,8.5,E,0.5
AFG,2013,8.6,E,0.5
AFG,2014,8.8,E,0.5
AFG,2015,8.9,E,0.5
AFG,2016,9.7,E,0.5
AFG,2017,10.5,E,0.5
AFG,2018,11.1,E,0.5
AFG,2019,NaN,NA,0
AGO,2004,10.3,E,0.5
AGO,2005,10.2,E,0.5
AGO,2006,10,E,0.5
AGO,2007,9.7,E,0.5
AGO,2008,9.3,E,0.5
AGO,2009,9.1,E,0.5
AGO,2010,8.9,E,0.5
AGO,2011,9,E,0.5
AGO,2012,8.9,E,0.5
AGO,2013,7.6,E,0.5
AGO,2014,6.2,E,0.5
AGO,2015,5.3,E,0.5
AGO,2016,5.6,E,0.5
AGO,2017,5.8,E,0.5
AGO,2018,5.7,E,0.5
AGO,2019,NaN,NA,0
AIA,2004,NaN,"NA",NaN
AIA,2005,NaN,"NA",NaN
AIA,2006,NaN,"NA",NaN
AIA,2007,NaN,"NA",NaN
AIA,2008,NaN,"NA",NaN
AIA,2009,NaN,"NA",NaN
AIA,2010,NaN,"NA",NaN
AIA,2011,NaN,"NA",NaN
AIA,2012,NaN,"NA",NaN
AIA,2013,NaN,"NA",NaN
AIA,2014,NaN,"NA",NaN
AIA,2015,NaN,"NA",NaN
AIA,2016,NaN,"NA",NaN
AIA,2017,NaN,"NA",NaN
AIA,2018,NaN,"NA",NaN
AIA,2019,NaN,NA,0
ALA,2004,NaN,"NA",NaN
ALA,2005,NaN,"NA",NaN
ALA,2006,NaN,"NA",NaN
ALA,2007,NaN,"NA",NaN
ALA,2008,NaN,"NA",NaN
ALA,2009,NaN,"NA",NaN
ALA,2010,NaN,"NA",NaN
ALA,2011,NaN,"NA",NaN
ALA,2012,NaN,"NA",NaN
ALA,2013,NaN,"NA",NaN
ALA,2014,NaN,"NA",NaN
ALA,2015,NaN,"NA",NaN
ALA,2016,NaN,"NA",NaN
ALA,2017,NaN,"NA",NaN
ALA,2018,NaN,"NA",NaN
ALA,2019,NaN,NA,0
ALB,2004,0.3,E,0.5
ALB,2005,0.3,E,0.5
ALB,2006,0.3,E,0.5
ALB,2007,0.3,E,0.5
ALB,2008,0.2,E,0.5
ALB,2009,0.2,E,0.5
ALB,2010,0.1,E,0.5
ALB,2011,0.1,E,0.5
ALB,2012,0.1,E,0.5
ALB,2013,0.1,E,0.5
ALB,2014,0.1,E,0.5
ALB,2015,0.1,E,0.5
ALB,2016,0.1,E,0.5
ALB,2017,0.1,E,0.5
ALB,2018,0.1,E,0.5
ALB,2019,NaN,NA,0
AND,2004,NaN,"NA",NaN
AND,2005,NaN,"NA",NaN
AND,2006,NaN,"NA",NaN
AND,2007,NaN,"NA",NaN
AND,2008,NaN,"NA",NaN
AND,2009,NaN,"NA",NaN
AND,2010,NaN,"NA",NaN
AND,2011,NaN,"NA",NaN
AND,2012,NaN,"NA",NaN
AND,2013,NaN,"NA",NaN
AND,2014,NaN,"NA",NaN
AND,2015,NaN,"NA",NaN
AND,2016,NaN,"NA",NaN
AND,2017,NaN,"NA",NaN
AND,2018,NaN,"NA",NaN
AND,2019,NaN,NA,0
ARE,2004,0.3,E,0.5
ARE,2005,0.4,E,0.5
ARE,2006,0.5,E,0.5
ARE,2007,0.6,E,0.5
ARE,2008,0.6,E,0.5
ARE,2009,0.6,E,0.5
ARE,2010,0.5,E,0.5
ARE,2011,0.5,E,0.5
ARE,2012,0.4,E,0.5
ARE,2013,0.3,E,0.5
ARE,2014,0.3,E,0.5
ARE,2015,0.3,E,0.5
ARE,2016,0.3,E,0.5
ARE,2017,0.3,E,0.5
ARE,2018,0.3,E,0.5
ARE,2019,NaN,NA,0
ARG,2004,1.6,E,0.5
ARG,2005,1.5,E,0.5
ARG,2006,1.4,E,0.5
ARG,2007,1.3,E,0.5
ARG,2008,1.3,E,0.5
ARG,2009,1.4,E,0.5
ARG,2010,1.4,E,0.5
ARG,2011,1.4,E,0.5
ARG,2012,1.3,E,0.5
ARG,2013,1.2,E,0.5
ARG,2014,NaN,N,NaN
ARG,2015,1.1,E,0.5
ARG,2016,1.3,E,0.5
ARG,2017,1.5,E,0.5
ARG,2018,1.7,E,0.5
ARG,2019,NaN,NA,0
ARM,2004,0.5,E,0.5
ARM,2005,0.4,E,0.5
ARM,2006,0.3,E,0.5
ARM,2007,0.2,E,0.5
ARM,2008,0.2,E,0.5
ARM,2009,0.1,E,0.5
ARM,2010,0.1,E,0.5
ARM,2011,0.1,E,0.5
ARM,2012,0.1,E,0.5
ARM,2013,NaN,E,0.5
ARM,2014,NaN,E,0.5
ARM,2015,NaN,E,0.5
ARM,2016,NaN,E,0.5
ARM,2017,NaN,E,0.5
ARM,2018,NaN,E,0.5
ARM,2019,NaN,NA,0
ASM,2004,NaN,"NA",NaN
ASM,2005,NaN,"NA",NaN
ASM,2006,NaN,"NA",NaN
ASM,2007,NaN,"NA",NaN
ASM,2008,NaN,"NA",NaN
ASM,2009,NaN,"NA",NaN
ASM,2010,NaN,"NA",NaN
ASM,2011,NaN,"NA",NaN
ASM,2012,NaN,"NA",NaN
ASM,2013,NaN,"NA",NaN
ASM,2014,NaN,"NA",NaN
ASM,2015,NaN,"NA",NaN
ASM,2016,NaN,"NA",NaN
ASM,2017,NaN,"NA",NaN
ASM,2018,NaN,"NA",NaN
ASM,2019,NaN,NA,0
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,"NA",NaN
ATF,2005,NaN,"NA",NaN
ATF,2006,NaN,"NA",NaN
ATF,2007,NaN,"NA",NaN
ATF,2008,NaN,"NA",NaN
ATF,2009,NaN,"NA",NaN
ATF,2010,NaN,"NA",NaN
ATF,2011,NaN,"NA",NaN
ATF,2012,NaN,"NA",NaN
ATF,2013,NaN,"NA",NaN
ATF,2014,NaN,"NA",NaN
ATF,2015,NaN,"NA",NaN
ATF,2016,NaN,"NA",NaN
ATF,2017,NaN,"NA",NaN
ATF,2018,NaN,"NA",NaN
ATF,2019,NaN,NA,0
ATG,2004,NaN,"NA",NaN
ATG,2005,NaN,"NA",NaN
ATG,2006,NaN,"NA",NaN
