iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,NA,0
ABW,2005,NaN,NA,0
ABW,2006,NaN,NA,0
ABW,2007,NaN,NA,0
ABW,2008,NaN,NA,0
ABW,2009,NaN,NA,0
ABW,2010,NaN,NA,0
ABW,2011,NaN,NA,0
ABW,2012,NaN,NA,0
ABW,2013,NaN,NA,0
ABW,2014,NaN,NA,0
ABW,2015,NaN,NA,0
ABW,2016,NaN,NA,0
ABW,2017,NaN,NA,0
ABW,2018,NaN,NA,0
ABW,2019,NaN,NA,0
AFG,2004,NaN,NA,0
AFG,2005,NaN,NA,0
AFG,2006,NaN,NA,0
AFG,2007,NaN,NA,0
AFG,2008,NaN,NA,0
AFG,2009,NaN,NA,0
AFG,2010,NaN,NA,0
AFG,2011,NaN,NA,0
AFG,2012,NaN,NA,0
AFG,2013,NaN,NA,0
AFG,2014,NaN,NA,0
AFG,2015,NaN,NA,0
AFG,2016,NaN,NA,0
AFG,2017,29933.2,NA,NaN
AFG,2018,283200.12,NA,NaN
AFG,2019,332536.23324,NA,NaN
AGO,2004,NaN,NA,0
AGO,2005,10485,NA,NaN
AGO,2006,16374,NA,NaN
AGO,2007,43274,NA,NaN
AGO,2008,98202,NA,NaN
AGO,2009,19891,NA,NaN
AGO,2010,18715,NA,NaN
AGO,2011,187508,NA,NaN
AGO,2012,19814,NA,NaN
AGO,2013,12111,NA,NaN
AGO,2014,30701,NA,NaN
AGO,2015,40634,NA,NaN
AGO,2016,75290,NA,NaN
AGO,2017,38797,NA,NaN
AGO,2018,33176,NA,NaN
AGO,2019,NaN,NA,0
AIA,2004,NaN,NA,0
AIA,2005,NaN,NA,0
AIA,2006,NaN,NA,0
AIA,2007,NaN,NA,0
AIA,2008,NaN,NA,0
AIA,2009,NaN,NA,0
AIA,2010,NaN,NA,0
AIA,2011,NaN,NA,0
AIA,2012,NaN,NA,0
AIA,2013,NaN,NA,0
AIA,2014,NaN,NA,0
AIA,2015,NaN,NA,0
AIA,2016,NaN,NA,0
AIA,2017,NaN,NA,0
AIA,2018,NaN,NA,0
AIA,2019,NaN,NA,0
ALA,2004,NaN,NA,0
ALA,2005,NaN,NA,0
ALA,2006,NaN,NA,0
ALA,2007,NaN,NA,0
ALA,2008,NaN,NA,0
ALA,2009,NaN,NA,0
ALA,2010,NaN,NA,0
ALA,2011,NaN,NA,0
ALA,2012,NaN,NA,0
ALA,2013,NaN,NA,0
ALA,2014,NaN,NA,0
ALA,2015,NaN,NA,0
ALA,2016,NaN,NA,0
ALA,2017,NaN,NA,0
ALA,2018,NaN,NA,0
ALA,2019,NaN,NA,0
ALB,2004,NaN,NA,0
ALB,2005,29259.74973,NA,NaN
ALB,2006,1724.73852,NA,NaN
ALB,2007,2346.30497,NA,NaN
ALB,2008,1856.57818,NA,NaN
ALB,2009,10580.79152,NA,NaN
ALB,2010,90495.12157,NA,NaN
ALB,2011,5341.90169,NA,NaN
ALB,2012,6665.61371,NA,NaN
ALB,2013,16150.40793,NA,NaN
ALB,2014,3914.13062,NA,NaN
ALB,2015,1500.08626,NA,NaN
ALB,2016,146.19031,NA,NaN
ALB,2017,752.85467,NA,NaN
ALB,2018,4683,NA,NaN
ALB,2019,517.84045,NA,NaN
AND,2004,NaN,NA,0
AND,2005,NaN,NA,0
AND,2006,NaN,NA,0
AND,2007,NaN,NA,0
AND,2008,NaN,NA,0
AND,2009,NaN,NA,0
AND,2010,NaN,NA,0
AND,2011,NaN,NA,0
AND,2012,NaN,NA,0
AND,2013,NaN,NA,0
AND,2014,NaN,NA,0
AND,2015,NaN,NA,0
AND,2016,NaN,NA,0
AND,2017,NaN,NA,0
AND,2018,NaN,NA,0
AND,2019,NaN,NA,0
ARE,2004,NaN,NA,0
ARE,2005,NaN,NA,0
ARE,2006,NaN,NA,0
ARE,2007,NaN,NA,0
ARE,2008,NaN,NA,0
ARE,2009,NaN,NA,0
ARE,2010,NaN,NA,0
ARE,2011,NaN,NA,0
ARE,2012,NaN,NA,0
ARE,2013,NaN,NA,0
ARE,2014,NaN,NA,0
ARE,2015,NaN,NA,0
ARE,2016,NaN,NA,0
ARE,2017,NaN,NA,0
ARE,2018,NaN,NA,0
ARE,2019,NaN,NA,0
ARG,2004,NaN,NA,0
ARG,2005,460457.35988,NA,NaN
ARG,2006,246494.17983,NA,NaN
ARG,2007,303360.76711,NA,NaN
ARG,2008,25240.25219,NA,NaN
ARG,2009,211579.18241,NA,NaN
ARG,2010,46770.67853,NA,NaN
ARG,2011,1314.71125,NA,NaN
ARG,2012,447008.77678,NA,NaN
ARG,2013,600000,NA,NaN
ARG,2014,147949.46388,NA,NaN
ARG,2015,209399.71584,NA,NaN
ARG,2016,248552.89199,NA,NaN
ARG,2017,133679,NA,NaN
ARG,2018,NaN,NA,0
ARG,2019,NaN,NA,0
ARM,2004,NaN,NA,0
ARM,2005,NaN,NA,0
ARM,2006,NaN,NA,0
ARM,2007,NaN,NA,0
ARM,2008,NaN,NA,0
ARM,2009,NaN,NA,0
ARM,2010,NaN,NA,0
ARM,2011,NaN,NA,0
ARM,2012,NaN,NA,0
ARM,2013,NaN,NA,0
ARM,2014,NaN,NA,0
ARM,2015,9213,NA,NaN
ARM,2016,10827.0836,NA,NaN
ARM,2017,17685.504,NA,NaN
ARM,2018,18343,NA,NaN
ARM,2019,19446.852,NA,NaN
ASM,2004,NaN,NA,0
ASM,2005,NaN,NA,0
ASM,2006,NaN,NA,0
ASM,2007,NaN,NA,0
ASM,2008,NaN,NA,0
ASM,2009,NaN,NA,0
ASM,2010,NaN,NA,0
ASM,2011,NaN,NA,0
ASM,2012,NaN,NA,0
ASM,2013,NaN,NA,0
ASM,2014,NaN,NA,0
ASM,2015,NaN,NA,0
ASM,2016,NaN,NA,0
ASM,2017,NaN,NA,0
ASM,2018,NaN,NA,0
ASM,2019,NaN,NA,0
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,NA,0
ATF,2005,NaN,NA,0
ATF,2006,NaN,NA,0
ATF,2007,NaN,NA,0
ATF,2008,NaN,NA,0
ATF,2009,NaN,NA,0
ATF,2010,NaN,NA,0
ATF,2011,NaN,NA,0
ATF,2012,NaN,NA,0
ATF,2013,NaN,NA,0
ATF,2014,NaN,NA,0
ATF,2015,NaN,NA,0
ATF,2016,NaN,NA,0
ATF,2017,NaN,NA,0
ATF,2018,NaN,NA,0
ATF,2019,NaN,NA,0
ATG,2004,NaN,NA,0
ATG,2005,210,NA,NaN
ATG,2006,NaN,NA,0
ATG,2007,NaN,NA,0
ATG,2008,8352,NA,NaN
ATG,2009,7,NA,NaN
ATG,2010,2403.4,NA,NaN
ATG,2011,6,NA,NaN
ATG,2012,52,NA,NaN
ATG,2013,1276,NA,NaN
ATG,2014,40.2,NA,NaN
ATG,2015,NaN,NA,0
ATG,2016,NaN,NA,0
ATG,2017,NaN,NA,0
ATG,2018,NaN,NA,0
ATG,2019,NaN,NA,0
AUS,2004,NaN,NA,0
AUS,2005,NaN,NA,0
AUS,2006,NaN,NA,0
AUS,2007,NaN,NA,0
AUS,2008,NaN,NA,0
AUS,2009,6076,NA,NaN
AUS,2010,15476.35781,NA,NaN
AUS,2011,13994,NA,NaN
AUS,2012,879,NA,NaN
AUS,2013,7625,NA,NaN
AUS,2014,288,NA,NaN
AUS,2015,6755,NA,NaN
AUS,2016,4110,NA,NaN
AUS,2017,11798,NA,NaN
AUS,2018,25021,NA,NaN
AUS,2019,NaN,NA,0
AUT,2004,NaN,NA,0
AUT,2005,111,NA,NaN
AUT,2006,61,NA,NaN
AUT,2007,109,NA,NaN
AUT,2008,152,NA,NaN
AUT,2009,119,NA,NaN
AUT,2010,65,NA,NaN
AUT,2011,57,NA,NaN
AUT,2012,58,NA,NaN
AUT,2013,583,NA,NaN
AUT,2014,30,NA,NaN
AUT,2015,196,NA,NaN
AUT,2016,60,NA,NaN
AUT,2017,271,NA,NaN
AUT,2018,6630,NA,NaN
AUT,2019,NaN,NA,0
AZE,2004,NaN,NA,0
AZE,2005,NaN,NA,0
AZE,2006,NaN,NA,0
AZE,2007,NaN,NA,0
AZE,2008,NaN,NA,0
AZE,2009,NaN,NA,0
AZE,2010,NaN,NA,0
AZE,2011,NaN,NA,0
AZE,2012,NaN,NA,0
AZE,2013,NaN,NA,0
AZE,2014,NaN,NA,0
AZE,2015,NaN,NA,0
AZE,2016,NaN,NA,0
AZE,2017,NaN,NA,0
AZE,2018,NaN,NA,0
AZE,2019,NaN,NA,0
BDI,2004,NaN,NA,0
BDI,2005,NaN,NA,0
BDI,2006,NaN,NA,0
