iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,NA,0
ABW,2005,NaN,NA,0
ABW,2006,NaN,NA,0
ABW,2007,NaN,NA,0
ABW,2008,NaN,NA,0
ABW,2009,NaN,NA,0
ABW,2010,NaN,NA,0
ABW,2011,NaN,NA,0
ABW,2012,NaN,NA,0
ABW,2013,NaN,NA,0
ABW,2014,NaN,NA,0
ABW,2015,NaN,NA,0
ABW,2016,NaN,NA,0
ABW,2017,NaN,NA,0
ABW,2018,NaN,NA,0
ABW,2019,NaN,NA,0
AFG,2004,NaN,NA,0
AFG,2005,NaN,NA,0
AFG,2006,NaN,NA,0
AFG,2007,NaN,NA,0
AFG,2008,NaN,NA,0
AFG,2009,NaN,NA,0
AFG,2010,NaN,NA,0
AFG,2011,NaN,NA,0
AFG,2012,NaN,NA,0
AFG,2013,NaN,NA,0
AFG,2014,NaN,NA,0
AFG,2015,NaN,NA,0
AFG,2016,NaN,NA,0
AFG,2017,54865343,NA,NaN
AFG,2018,332116074,NA,NaN
AFG,2019,558334756,NA,NaN
AGO,2004,NaN,NA,0
AGO,2005,30495262,NA,NaN
AGO,2006,62874000,NA,NaN
AGO,2007,2955506,NA,NaN
AGO,2008,6880275,NA,NaN
AGO,2009,30542012,NA,NaN
AGO,2010,45852736,NA,NaN
AGO,2011,145171994,NA,NaN
AGO,2012,25285788,NA,NaN
AGO,2013,92156368,NA,NaN
AGO,2014,139000441,NA,NaN
AGO,2015,127503768,NA,NaN
AGO,2016,94803693,NA,NaN
AGO,2017,80352174,NA,NaN
AGO,2018,72968711,NA,NaN
AGO,2019,NaN,NA,0
AIA,2004,NaN,NA,0
AIA,2005,NaN,NA,0
AIA,2006,NaN,NA,0
AIA,2007,NaN,NA,0
AIA,2008,NaN,NA,0
AIA,2009,NaN,NA,0
AIA,2010,NaN,NA,0
AIA,2011,NaN,NA,0
AIA,2012,NaN,NA,0
AIA,2013,NaN,NA,0
AIA,2014,NaN,NA,0
AIA,2015,NaN,NA,0
AIA,2016,NaN,NA,0
AIA,2017,NaN,NA,0
AIA,2018,NaN,NA,0
AIA,2019,NaN,NA,0
ALA,2004,NaN,NA,0
ALA,2005,NaN,NA,0
ALA,2006,NaN,NA,0
ALA,2007,NaN,NA,0
ALA,2008,NaN,NA,0
ALA,2009,NaN,NA,0
ALA,2010,NaN,NA,0
ALA,2011,NaN,NA,0
ALA,2012,NaN,NA,0
ALA,2013,NaN,NA,0
ALA,2014,NaN,NA,0
ALA,2015,NaN,NA,0
ALA,2016,NaN,NA,0
ALA,2017,NaN,NA,0
ALA,2018,NaN,NA,0
ALA,2019,NaN,NA,0
ALB,2004,NaN,NA,0
ALB,2005,36435528,NA,NaN
ALB,2006,3328231,NA,NaN
ALB,2007,3411034,NA,NaN
ALB,2008,3471102,NA,NaN
ALB,2009,21580207,NA,NaN
ALB,2010,150308447,NA,NaN
ALB,2011,9546194,NA,NaN
ALB,2012,11353632,NA,NaN
ALB,2013,33066513,NA,NaN
ALB,2014,7294638,NA,NaN
ALB,2015,2962713,NA,NaN
ALB,2016,290604,NA,NaN
ALB,2017,1436787,NA,NaN
ALB,2018,5345436,NA,NaN
ALB,2019,1664835,NA,NaN
AND,2004,NaN,NA,0
AND,2005,NaN,NA,0
AND,2006,NaN,NA,0
AND,2007,NaN,NA,0
AND,2008,NaN,NA,0
AND,2009,NaN,NA,0
AND,2010,NaN,NA,0
AND,2011,NaN,NA,0
AND,2012,NaN,NA,0
AND,2013,NaN,NA,0
AND,2014,NaN,NA,0
AND,2015,NaN,NA,0
AND,2016,NaN,NA,0
AND,2017,NaN,NA,0
AND,2018,NaN,NA,0
AND,2019,NaN,NA,0
ARE,2004,NaN,NA,0
ARE,2005,NaN,NA,0
ARE,2006,NaN,NA,0
ARE,2007,NaN,NA,0
ARE,2008,NaN,NA,0
ARE,2009,NaN,NA,0
ARE,2010,NaN,NA,0
ARE,2011,NaN,NA,0
ARE,2012,NaN,NA,0
ARE,2013,NaN,NA,0
ARE,2014,NaN,NA,0
ARE,2015,NaN,NA,0
ARE,2016,NaN,NA,0
ARE,2017,NaN,NA,0
ARE,2018,NaN,NA,0
ARE,2019,NaN,NA,0
ARG,2004,NaN,NA,0
ARG,2005,1331664074,NA,NaN
ARG,2006,640853863,NA,NaN
ARG,2007,829560458,NA,NaN
ARG,2008,94383509,NA,NaN
ARG,2009,562817505,NA,NaN
ARG,2010,129613600,NA,NaN
ARG,2011,4509717,NA,NaN
ARG,2012,2054261339,NA,NaN
ARG,2013,94462500,NA,NaN
ARG,2014,693540157,NA,NaN
ARG,2015,1281403197,NA,NaN
ARG,2016,154870500,NA,NaN
ARG,2017,2542000,NA,NaN
ARG,2018,NaN,NA,0
ARG,2019,NaN,NA,0
ARM,2004,NaN,NA,0
ARM,2005,NaN,NA,0
ARM,2006,NaN,NA,0
ARM,2007,NaN,NA,0
ARM,2008,NaN,NA,0
ARM,2009,NaN,NA,0
ARM,2010,NaN,NA,0
ARM,2011,NaN,NA,0
ARM,2012,NaN,NA,0
ARM,2013,NaN,NA,0
ARM,2014,NaN,NA,0
ARM,2015,NaN,NA,0
ARM,2016,10970545,NA,NaN
ARM,2017,13616731,NA,NaN
ARM,2018,13288937,NA,NaN
ARM,2019,5416073,NA,NaN
ASM,2004,NaN,NA,0
ASM,2005,NaN,NA,0
ASM,2006,NaN,NA,0
ASM,2007,NaN,NA,0
ASM,2008,NaN,NA,0
ASM,2009,NaN,NA,0
ASM,2010,NaN,NA,0
ASM,2011,NaN,NA,0
ASM,2012,NaN,NA,0
ASM,2013,NaN,NA,0
ASM,2014,NaN,NA,0
ASM,2015,NaN,NA,0
ASM,2016,NaN,NA,0
ASM,2017,NaN,NA,0
ASM,2018,NaN,NA,0
ASM,2019,NaN,NA,0
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,NA,0
ATF,2005,NaN,NA,0
ATF,2006,NaN,NA,0
ATF,2007,NaN,NA,0
ATF,2008,NaN,NA,0
ATF,2009,NaN,NA,0
ATF,2010,NaN,NA,0
ATF,2011,NaN,NA,0
ATF,2012,NaN,NA,0
ATF,2013,NaN,NA,0
ATF,2014,NaN,NA,0
ATF,2015,NaN,NA,0
ATF,2016,NaN,NA,0
ATF,2017,NaN,NA,0
ATF,2018,NaN,NA,0
ATF,2019,NaN,NA,0
ATG,2004,NaN,NA,0
ATG,2005,NaN,NA,0
ATG,2006,NaN,NA,0
ATG,2007,NaN,NA,0
ATG,2008,19639901,NA,NaN
ATG,2009,35250,NA,NaN
ATG,2010,11107361,NA,NaN
ATG,2011,234030,NA,NaN
ATG,2012,273168,NA,NaN
ATG,2013,205200,NA,NaN
ATG,2014,351463,NA,NaN
ATG,2015,NaN,NA,0
ATG,2016,NaN,NA,0
ATG,2017,NaN,NA,0
ATG,2018,NaN,NA,0
ATG,2019,NaN,NA,0
AUS,2004,NaN,NA,0
AUS,2005,NaN,NA,0
AUS,2006,NaN,NA,0
AUS,2007,NaN,NA,0
AUS,2008,NaN,NA,0
AUS,2009,129259800,NA,NaN
AUS,2010,105392138,NA,NaN
AUS,2011,112653225,NA,NaN
AUS,2012,6822638,NA,NaN
AUS,2013,59416500,NA,NaN
AUS,2014,2539875,NA,NaN
AUS,2015,77816512,NA,NaN
AUS,2016,38570512,NA,NaN
AUS,2017,91792012,NA,NaN
AUS,2018,184595250,NA,NaN
AUS,2019,NaN,NA,0
AUT,2004,NaN,NA,0
AUT,2005,NaN,NA,0
AUT,2006,NaN,NA,0
AUT,2007,NaN,NA,0
AUT,2008,NaN,NA,0
AUT,2009,NaN,NA,0
AUT,2010,NaN,NA,0
AUT,2011,NaN,NA,0
AUT,2012,NaN,NA,0
AUT,2013,NaN,NA,0
AUT,2014,NaN,NA,0
AUT,2015,NaN,NA,0
AUT,2016,NaN,NA,0
AUT,2017,NaN,NA,0
AUT,2018,633383127,NA,NaN
AUT,2019,NaN,NA,0
AZE,2004,NaN,NA,0
AZE,2005,NaN,NA,0
AZE,2006,NaN,NA,0
AZE,2007,NaN,NA,0
AZE,2008,NaN,NA,0
AZE,2009,NaN,NA,0
AZE,2010,NaN,NA,0
AZE,2011,NaN,NA,0
AZE,2012,NaN,NA,0
AZE,2013,NaN,NA,0
AZE,2014,NaN,NA,0
AZE,2015,NaN,NA,0
AZE,2016,NaN,NA,0
AZE,2017,NaN,NA,0
AZE,2018,NaN,NA,0
AZE,2019,NaN,NA,0
BDI,2004,NaN,NA,0
BDI,2005,NaN,NA,0
BDI,2006,NaN,NA,0
BDI,2007,NaN,NA,0
BDI,2008,NaN,NA,0
