iso3c,date,ind_value,ind_metadata,ind_quality
ABW,2004,NaN,NA,0
ABW,2005,NaN,NA,0
ABW,2006,NaN,NA,0
ABW,2007,NaN,NA,0
ABW,2008,NaN,NA,0
ABW,2009,NaN,NA,0
ABW,2010,NaN,NA,0
ABW,2011,NaN,NA,0
ABW,2012,NaN,NA,0
ABW,2013,NaN,NA,0
ABW,2014,NaN,NA,0
ABW,2015,NaN,NA,0
ABW,2016,NaN,NA,0
ABW,2017,NaN,NA,0
ABW,2018,NaN,NA,0
ABW,2019,NaN,NA,0
AFG,2004,NaN,NA,0
AFG,2005,NaN,NA,0
AFG,2006,NaN,NA,0
AFG,2007,NaN,NA,0
AFG,2008,NaN,NA,0
AFG,2009,NaN,NA,0
AFG,2010,NaN,NA,0
AFG,2011,NaN,NA,0
AFG,2012,NaN,NA,0
AFG,2013,NaN,NA,0
AFG,2014,NaN,NA,0
AFG,2015,NaN,NA,0
AFG,2016,NaN,NA,0
AFG,2017,0.06056,C,1
AFG,2018,NaN,NA,0
AFG,2019,1.16548,C,1
AGO,2004,NaN,NA,0
AGO,2005,0.11373,C,1
AGO,2006,0.31148,C,1
AGO,2007,2.76299,C,1
AGO,2008,1.38686,C,1
AGO,2009,0.43224,C,1
AGO,2010,0.49341,C,1
AGO,2011,1.36171,C,1
AGO,2012,0.38759,C,1
AGO,2013,0.26064,C,1
AGO,2014,0.60103,C,1
AGO,2015,1.64533,C,1
AGO,2016,1.24711,C,1
AGO,2017,9.31606,C,1
AGO,2018,0.30427,C,1
AGO,2019,0.92459,C,1
AIA,2004,NaN,NA,0
AIA,2005,NaN,NA,0
AIA,2006,NaN,NA,0
AIA,2007,NaN,NA,0
AIA,2008,NaN,NA,0
AIA,2009,NaN,NA,0
AIA,2010,NaN,NA,0
AIA,2011,NaN,NA,0
AIA,2012,NaN,NA,0
AIA,2013,NaN,NA,0
AIA,2014,NaN,NA,0
AIA,2015,NaN,NA,0
AIA,2016,NaN,NA,0
AIA,2017,NaN,NA,0
AIA,2018,NaN,NA,0
AIA,2019,NaN,NA,0
ALA,2004,NaN,NA,0
ALA,2005,NaN,NA,0
ALA,2006,NaN,NA,0
ALA,2007,NaN,NA,0
ALA,2008,NaN,NA,0
ALA,2009,NaN,NA,0
ALA,2010,NaN,NA,0
ALA,2011,NaN,NA,0
ALA,2012,NaN,NA,0
ALA,2013,NaN,NA,0
ALA,2014,NaN,NA,0
ALA,2015,NaN,NA,0
ALA,2016,NaN,NA,0
ALA,2017,NaN,NA,0
ALA,2018,NaN,NA,0
ALA,2019,NaN,NA,0
ALB,2004,NaN,NA,0
ALB,2005,0.22677,C,1
ALB,2006,0.0653,C,1
ALB,2007,0.06592,C,1
ALB,2008,0.53286,C,1
ALB,2009,0.20181,C,1
ALB,2010,0.44097,C,1
ALB,2011,0.71707,C,1
ALB,2012,0.27453,C,1
ALB,2013,0.30994,C,1
ALB,2014,0.31074,C,1
ALB,2015,0.41583,C,1
ALB,2016,0.69551,C,1
ALB,2017,0.20858,C,1
ALB,2018,0.73162,C,1
ALB,2019,0.13974,C,1
AND,2004,NaN,NA,0
AND,2005,NaN,NA,0
AND,2006,NaN,NA,0
AND,2007,NaN,NA,0
AND,2008,NaN,NA,0
AND,2009,NaN,NA,0
AND,2010,NaN,NA,0
AND,2011,NaN,NA,0
AND,2012,NaN,NA,0
AND,2013,NaN,NA,0
AND,2014,NaN,NA,0
AND,2015,NaN,NA,0
AND,2016,NaN,NA,0
AND,2017,NaN,NA,0
AND,2018,NaN,NA,0
AND,2019,NaN,NA,0
ARE,2004,NaN,NA,0
ARE,2005,NaN,NA,0
ARE,2006,NaN,NA,0
ARE,2007,NaN,NA,0
ARE,2008,NaN,NA,0
ARE,2009,NaN,NA,0
ARE,2010,NaN,NA,0
ARE,2011,NaN,NA,0
ARE,2012,NaN,NA,0
ARE,2013,NaN,NA,0
ARE,2014,NaN,NA,0
ARE,2015,NaN,NA,0
ARE,2016,NaN,NA,0
ARE,2017,NaN,NA,0
ARE,2018,NaN,NA,0
ARE,2019,NaN,NA,0
ARG,2004,NaN,NA,0
ARG,2005,0.49109,C,1
ARG,2006,0.31815,C,1
ARG,2007,0.95,C,1
ARG,2008,0.5988,C,1
ARG,2009,1.02019,C,1
ARG,2010,0.44111,C,1
ARG,2011,0.17909,C,1
ARG,2012,0.16764,C,1
ARG,2013,NaN,NA,0
ARG,2014,0.21577,C,1
ARG,2015,0.22257,C,1
ARG,2016,11.47042,C,1
ARG,2017,NaN,NA,0
ARG,2018,0.02225,C,1
ARG,2019,NaN,NA,0
ARM,2004,NaN,NA,0
ARM,2005,NaN,NA,0
ARM,2006,NaN,NA,0
ARM,2007,NaN,NA,0
ARM,2008,NaN,NA,0
ARM,2009,NaN,NA,0
ARM,2010,NaN,NA,0
ARM,2011,NaN,NA,0
ARM,2012,NaN,NA,0
ARM,2013,NaN,NA,0
ARM,2014,NaN,NA,0
ARM,2015,14.69805,C,1
ARM,2016,11.34139,C,1
ARM,2017,11.9217,C,1
ARM,2018,13.55655,C,1
ARM,2019,14.43676,C,1
ASM,2004,NaN,NA,0
ASM,2005,NaN,NA,0
ASM,2006,NaN,NA,0
ASM,2007,NaN,NA,0
ASM,2008,NaN,NA,0
ASM,2009,317.60035,C,1
ASM,2010,NaN,NA,0
ASM,2011,NaN,NA,0
ASM,2012,NaN,NA,0
ASM,2013,NaN,NA,0
ASM,2014,NaN,NA,0
ASM,2015,7.16769,C,1
ASM,2016,NaN,NA,0
ASM,2017,NaN,NA,0
ASM,2018,NaN,NA,0
ASM,2019,NaN,NA,0
ATA,2004,NaN,NA,0
ATA,2005,NaN,NA,0
ATA,2006,NaN,NA,0
ATA,2007,NaN,NA,0
ATA,2008,NaN,NA,0
ATA,2009,NaN,NA,0
ATA,2010,NaN,NA,0
ATA,2011,NaN,NA,0
ATA,2012,NaN,NA,0
ATA,2013,NaN,NA,0
ATA,2014,NaN,NA,0
ATA,2015,NaN,NA,0
ATA,2016,NaN,NA,0
ATA,2017,NaN,NA,0
ATA,2018,NaN,NA,0
ATA,2019,NaN,NA,0
ATF,2004,NaN,NA,0
ATF,2005,NaN,NA,0
ATF,2006,NaN,NA,0
ATF,2007,NaN,NA,0
ATF,2008,NaN,NA,0
ATF,2009,NaN,NA,0
ATF,2010,NaN,NA,0
ATF,2011,NaN,NA,0
ATF,2012,NaN,NA,0
ATF,2013,NaN,NA,0
ATF,2014,NaN,NA,0
ATF,2015,NaN,NA,0
ATF,2016,NaN,NA,0
ATF,2017,NaN,NA,0
ATF,2018,NaN,NA,0
ATF,2019,NaN,NA,0
ATG,2004,NaN,NA,0
ATG,2005,NaN,NA,0
ATG,2006,NaN,NA,0
ATG,2007,NaN,NA,0
ATG,2008,NaN,NA,0
ATG,2009,2.30566,C,1
ATG,2010,9.08781,C,1
ATG,2011,1.12045,C,1
ATG,2012,1.10611,C,1
ATG,2013,4.37111,C,1
ATG,2014,3.24107,C,1
ATG,2015,NaN,NA,0
ATG,2016,NaN,NA,0
ATG,2017,NaN,NA,0
ATG,2018,NaN,NA,0
ATG,2019,NaN,NA,0
AUS,2004,NaN,NA,0
AUS,2005,NaN,NA,0
AUS,2006,NaN,NA,0
AUS,2007,NaN,NA,0
AUS,2008,NaN,NA,0
AUS,2009,0.7912,C,1
AUS,2010,NaN,NA,0
AUS,2011,0.16872,C,1
AUS,2012,NaN,NA,0
AUS,2013,NaN,NA,0
AUS,2014,NaN,NA,0
AUS,2015,0.04169,C,1
AUS,2016,0.0697,C,1
AUS,2017,0.03229,C,1
AUS,2018,0.004,C,1
AUS,2019,NaN,NA,0
AUT,2004,NaN,NA,0
AUT,2005,0.18174,C,1
AUT,2006,0.048280000000000003,C,1
AUT,2007,0.04811,C,1
AUT,2008,0.09591,C,1
AUT,2009,0.07166,C,1
AUT,2010,0.10702,C,1
AUT,2011,0.01183,C,1
AUT,2012,0.1529,C,1
AUT,2013,0.17531,C,1
AUT,2014,0.03482,C,1
AUT,2015,0.06914,C,1
AUT,2016,0.04573,C,1
AUT,2017,0.12472,C,1
AUT,2018,0.01134,C,1
AUT,2019,NaN,NA,0
AZE,2004,NaN,NA,0
AZE,2005,NaN,NA,0
AZE,2006,NaN,NA,0
AZE,2007,NaN,NA,0
AZE,2008,NaN,NA,0
AZE,2009,NaN,NA,0
AZE,2010,NaN,NA,0
AZE,2011,NaN,NA,0
AZE,2012,NaN,NA,0
AZE,2013,NaN,NA,0
AZE,2014,NaN,NA,0
AZE,2015,NaN,NA,0
AZE,2016,NaN,NA,0
AZE,2017,NaN,NA,0
AZE,2018,NaN,NA,0
AZE,2019,NaN,NA,0
BDI,2004,NaN,NA,0
BDI,2005,NaN,NA,0
BDI,2006,NaN,NA,0
BDI,2007,NaN,NA,0
BDI,2008,NaN,NA,0
BDI,2009,NaN,NA,0
BDI,2010,NaN,NA,0
BDI,2011,NaN,NA,0
BDI,2012,NaN,NA,0
BDI,2013,NaN,NA,0
BDI,2014,NaN,NA,0
BDI,2015,1.5,C,1
BDI,2016,1.79224,C,1
